SNAPSHOT_TIME_ET,CONF,FRANCHISE,PLAYER_ID,PLAYER,INJURY,BYE,SALARY,YEARS,CONTRACT,ROSTER_STATUS
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,15727,"Knight, Bam",,,$1.10,1,2026 ERFA,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,11769,"Lawrence, Demarcus",,,$1.10,1,2025 R/F,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,11383,"Martin, Sam",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,16627,"McConkey, Ladd",,,$3.03,2,2024 1.12,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,14102,"Metcalf, DK",,,$13.60,3,2026 oEXT,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,15365,"Moehrig, Trevon",,,$7.18,3,2026 oEXT,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,17625,"Moore, Trey",,,$0.94,3,2026 UDFA,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,15369,"Patterson, Riley",,,$1.10,1,2026 ERFA,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,13723,"Payne, Da'Ron",,,$7.99,1,2023 SRFA,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,17115,"Pearce, James",,,$1.43,3,2025 3.05,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,13133,"Perine, Samaje",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,12620,"Prescott, Dak",,,$25.50,4,2026 B/R,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,17652,"Randall, Adam",,,$1.00,4,2026 4.25,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,13066,"Raymond, Kalif",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,17484,"Reid, Desmond",,,$0.94,3,2026 UDFA,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,17031,"Sanders, Shedeur",,,$1.17,3,2025 4.02,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,11945,"Santos, Cairo",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,13839,"Sieler, Zach",,,$16.50,2,2025 RRFA,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,16165,"Spears, Tyjae",,,$1.47,1,2023 3.07,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,15405,"Stephens, Brandon",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,14148,"Sweat, Montez",,,$8.44,3,2025 oEXT,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,14797,"Swift, D'Andre",,,$13.07,1,2024 UFA,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,17589,"Trotter, Josiah",,,$1.71,4,2026 2.12,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,16287,"Tucker, Tre",,,$5.77,3,2026 SRFA,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,16704,"Wallace, Trevin",,,$1.20,2,2024 4.02,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,17102,"Warren, Tyler",,,$3.66,3,2025 1.10,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,16216,"Washington, Darnell",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,17131,"Watts, Xavier",,,$1.29,3,2025 3.13,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,16226,"Wilson, Tyree",,,$2.10,1,2023 2.06,
05/13/2026 09:55 PM EDT,NFC,Dallas Cowboys,14947,"Wonnum, D.J.",,,$3.92,1,2024 UFA,
05/13/2026 09:55 PM EDT,NFC,New York Giants,14153,"Allen, Zach",,,$16.16,1,2025 oEXT,
05/13/2026 09:55 PM EDT,NFC,New York Giants,17466,"Beck, Carson",,,$1.06,4,2026 4.12,
05/13/2026 09:55 PM EDT,NFC,New York Giants,17698,"Bernard, Uar",,,$0.94,3,2026 UDFA,
05/13/2026 09:55 PM EDT,NFC,New York Giants,17261,"Biggers, Zeek",,,$1.10,1,2026 ERFA,
05/13/2026 09:55 PM EDT,NFC,New York Giants,17509,"Brazzell II, Chris",,,$1.56,4,2026 2.16,
05/13/2026 09:55 PM EDT,NFC,New York Giants,16181,"Brown, Chase",,,$1.33,1,2023 3.17,
05/13/2026 09:55 PM EDT,NFC,New York Giants,14897,"Brown, Derrick",,,$23.66,2,2024 UFA,
05/13/2026 09:55 PM EDT,NFC,New York Giants,16736,"Brownlee, Jarvis",,,$1.10,1,2025 R/F,
05/13/2026 09:55 PM EDT,NFC,New York Giants,17161,"Burch, Jordan",,,$0.99,2,2025 UDFA,
05/13/2026 09:55 PM EDT,NFC,New York Giants,15290,"Collins, Nico",,,$37.38,3,2026 oEXT,
05/13/2026 09:55 PM EDT,NFC,New York Giants,14911,"Davis, Ashtyn",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,New York Giants,15979,"Dicker, Cameron",,,$2.05,2,2025 UFA,
05/13/2026 09:55 PM EDT,NFC,New York Giants,17563,"Downs, Caleb",,,$2.62,4,2026 1.16,
05/13/2026 09:55 PM EDT,NFC,New York Giants,17056,"Etienne, Trevor",,,$1.04,3,2025 5.07,
05/13/2026 09:55 PM EDT,NFC,New York Giants,13837,"Franklin, Zaire",,,$11.00,1,2024 UFA,
05/13/2026 09:55 PM EDT,NFC,New York Giants,16009,"Gibbens, Jack",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,New York Giants,17060,"Giddens, DJ",,,$1.08,3,2025 4.17,
05/13/2026 09:55 PM EDT,NFC,New York Giants,16251,"Gonzalez, Christian",,,$1.21,1,2023 4.15,
05/13/2026 09:55 PM EDT,NFC,New York Giants,17138,"Grant, Kenneth",,,$1.26,3,2025 3.14,
05/13/2026 09:55 PM EDT,NFC,New York Giants,17190,"Hemingway, Tonka",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,New York Giants,14779,"Herbert, Justin",,,$16.65,3,2023 iEXT,
05/13/2026 09:55 PM EDT,NFC,New York Giants,16608,"Holani, George",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,New York Giants,17552,"Howell, Cashius",,,$1.23,4,2026 3.14,
05/13/2026 09:55 PM EDT,NFC,New York Giants,17635,"Johnson, Dalton",,,$0.94,3,2026 UDFA,
05/13/2026 09:55 PM EDT,NFC,New York Giants,16714,"Jones, Jarrian",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,New York Giants,17633,"Josephs, Joshua",,,$0.94,3,2026 UDFA,
05/13/2026 09:55 PM EDT,NFC,New York Giants,14143,"Knox, Dawson",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,New York Giants,14832,"Lamb, CeeDee",,,$41.50,2,2024 NEFToff,
05/13/2026 09:55 PM EDT,NFC,New York Giants,15794,"McBride, Trey",,,$22.66,1,2026 NEFT,
05/13/2026 09:55 PM EDT,NFC,New York Giants,16670,"McKinstry, Kool-Aid",,,$1.08,2,2024 5.13,
05/13/2026 09:55 PM EDT,NFC,New York Giants,17568,"Mesidor, Akheem",,,$1.49,4,2026 3.02,
05/13/2026 09:55 PM EDT,NFC,New York Giants,17033,"Milroe, Jalen",,,$1.23,3,2025 3.17,
05/13/2026 09:55 PM EDT,NFC,New York Giants,14154,"Nelson, Anthony",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,New York Giants,14669,"Nixon, Keisean",,,$3.26,1,2026 oEXT,
05/13/2026 09:55 PM EDT,NFC,New York Giants,17630,"Overton, LT",,,$0.94,3,2026 UDFA,
05/13/2026 09:55 PM EDT,NFC,New York Giants,16655,"Robinson, Chop",,,$1.56,2,2024 2.16,
05/13/2026 09:55 PM EDT,NFC,New York Giants,17617,"Rolder, Jimmy",,,$0.94,3,2026 UDFA,
05/13/2026 09:55 PM EDT,NFC,New York Giants,14136,"Samuel, Deebo",,,$15.49,1,2025 ORFA2,
05/13/2026 09:55 PM EDT,NFC,New York Giants,17116,"Sawyer, Jack",,,$0.99,2,2025 UDFA,
05/13/2026 09:55 PM EDT,NFC,New York Giants,17694,"Scott, Miles",,,$0.94,3,2026 UDFA,
05/13/2026 09:55 PM EDT,NFC,New York Giants,15428,"Sherwood, Jamien",,,$5.77,1,2026 SRFA,
05/13/2026 09:55 PM EDT,NFC,New York Giants,16428,"Smith, Xavier",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,New York Giants,17680,"Spears-Jennings, Robert",,,$0.94,3,2026 UDFA,
05/13/2026 09:55 PM EDT,NFC,New York Giants,17650,"Styles, Lorenzo",,,$0.94,3,2026 UDFA,
05/13/2026 09:55 PM EDT,NFC,New York Giants,14778,"Tagovailoa, Tua",,,$2.20,1,2026 B/R,
05/13/2026 09:55 PM EDT,NFC,New York Giants,14802,"Taylor, Jonathan",,,$19.36,1,2024 iEXT,
05/13/2026 09:55 PM EDT,NFC,New York Giants,17521,"Thomas, Zavion",,,$0.99,4,2026 5.09,
05/13/2026 09:55 PM EDT,NFC,New York Giants,16923,"Tillman, Dondrea",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,New York Giants,13113,"Watson, Deshaun",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,New York Giants,16262,"White, Keion",,,$1.23,1,2023 4.09,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,17606,"Barham, Jaishawn",,,$0.98,4,2026 5.20,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,17128,"Barron, Jahdae",,,$1.18,3,2025 4.01,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,13869,"Bojorquez, Corey",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,14147,"Bosa, Nick",,,$21.30,2,2023 UFA,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,16641,"Bowers, Brock",,,$4.42,2,2024 1.07,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,16324,"Brooks, Karl",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,16705,"Bullock, Calen",,,$1.10,1,2026 ERFA,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,14171,"Burns, Brian",,,$11.98,1,2024 B/R,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,16603,"Davis, Ray",,,$1.18,2,2024 4.05,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,16439,"Diabate, Mohamoud",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,17689,"Doman, Tommy",,,$0.94,3,2026 UDFA,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,17081,"Egbuka, Emeka",,,$2.84,3,2025 1.14,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,14303,"Elliss, Kaden",,,$3.39,2,2024 oEXT,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,17144,"Emmanwori, Nick",,,$1.61,3,2025 2.15,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,17553,"Faulk, Keldric",,,$1.20,4,2026 3.16,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,15799,"Ferguson, Jake",,,$5.20,2,2026 oEXT,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,12611,"Goff, Jared",,,$20.57,2,2024 UFA,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,15708,"Hall, Breece",,,$11.30,3,2025 iEXT,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,17676,"Hall, TJ",,,$0.94,3,2026 UDFA,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,17613,"Halton, Gracen",,,$0.98,4,2026 5.18,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,17083,"Higgins, Jayden",,,$3.19,3,2025 1.12,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,17574,"Hood, Colton",,,$0.98,4,2026 5.14,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,17690,"Hughes, Parker",,,$0.94,3,2026 UDFA,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,17125,"Knight, Demetrius",,,$1.30,3,2025 3.12,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,14159,"Lawrence, Dexter",,,$15.84,1,2023 UFA,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,17472,"Love, Jeremiyah",,,$9.73,4,2026 1.02,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,14179,"Love, Julian",,,$7.94,1,2024 iEXT,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,12956,"Lutz, Wil",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,13952,"Luvu, Frankie",,,$5.64,1,2025 UFA,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,14900,"Madubuike, Nnamdi",,,$10.45,1,2025 B/R,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,17561,"McCoy, Jermod",,,$0.94,3,2026 UDFA,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,16252,"McDonald, Will",,,$3.70,1,2023 3.18^,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,14218,"Okereke, Bobby",,,$6.48,1,2025 UFA,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,16102,"Pola-Mao, Isaiah",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,16184,"Reed, Jayden",,,$1.75,1,2023 2.13,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,16660,"Robinson, Darius",,,$1.33,2,2024 3.11,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,17169,"Stout, Upton",,,$1.10,1,2026 ERFA,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,13630,"Sutton, Courtland",,,$24.97,3,2026 oEXT,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,16650,"Turner, Dallas",,,$2.05,2,2024 2.05,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,17052,"Tuten, Bhayshul",,,$1.80,3,2025 2.10,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,15742,"Warren, Jaylen",,,$9.99,1,2025 iEXT,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,16579,"Williams, Caleb",,,$8.15,2,2024 1.02,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,15756,"Williams, Jameson",,,$24.75,6,2026 mEXT,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,17618,"Williams, Wesley",,,$0.94,3,2026 UDFA,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,15401,"Wright, Nahshon",,,$1.10,1,2026 ERFA,
05/13/2026 09:55 PM EDT,NFC,Philadelphia Eagles,15819,"Wyatt, Devonte",,,$5.00,2,2026 oEXT,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,16223,"Anderson, Will",,,$3.53,1,2023 1.11,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,17551,"Bailey, David",,,$3.52,4,2026 1.11,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,17078,"Bech, Jack",,,$2.18,3,2025 2.04,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,17506,"Bell, Chris",,,$1.76,4,2026 2.11,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,17697,"Benny, Rayshaun",,,$0.94,3,2026 UDFA,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,16734,"Booker, Austin",,,$1.10,2,2024 4.19,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,11936,"Boswell, Chris",,,$2.09,1,2025 UFA,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,16597,"Brooks, Jonathon",,,$2.71,2,2024 1.14,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,16677,"Bullard, Javon",,,$1.30,2,2024 3.13,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,15281,"Chase, Ja'Marr",,,$44.70,4,2025 iEXT,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,17241,"Crawshaw, Jeremy",,,$0.99,2,2025 UDFA,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,17256,"Croskey-Merritt, Jacory",,,$0.99,2,2025 UDFA,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,17628,"Daniels, Kendal",,,$0.94,3,2026 UDFA,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,16767,"Davis, Tyler",,,$1.10,1,2026 ERFA,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,14943,"Davis-Gaither, Akeem",,,$1.10,1,2026 ERFA,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,17545,"Endries, Jack",,,$0.94,3,2026 UDFA,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,16190,"Flowers, Zay",,,$3.80,1,2023 1.10,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,17037,"Gabriel, Dillon",,,$1.07,3,2025 4.19,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,14149,"Gary, Rashan",,,$3.30,1,2024 iEXT,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,17121,"Graham, Mason",,,$2.56,3,2025 1.16,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,15823,"Harris, Christian",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,16731,"Hart, Cam",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,17601,"Haulcy, A.J.",,,$1.26,4,2026 3.12,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,17560,"Hill Jr., Anthony",,,$1.63,4,2026 2.14,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,14836,"Jefferson, Justin",,,$45.38,2,2024 NEFToff,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,16246,"Johnson, Antonio",,,$2.45,2,2025 iEXT,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,17548,"Joly, Justin",,,$1.01,4,2026 4.22,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,13332,"Jones, D.J.",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,17605,"Kacmarek, Will",,,$0.94,3,2026 UDFA,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,16213,"Kincaid, Dalton",,,$4.92,1,2023 1.07,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,13299,"Kittle, George",,,$20.00,1,2026 B/R,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,17593,"Klein, Marlin",,,$0.98,4,2026 5.11,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,15395,"Koonce, Malcolm",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,16651,"Latu, Laiatu",,,$2.37,2,2024 2.01,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,14782,"Love, Jordan",,,$11.53,1,2023 iEXT,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,17200,"Marshall, Jason",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,17569,"McDonald, Kayden",,,$1.28,4,2026 3.11,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,17186,"Moore, Malachi",,,$0.99,2,2025 UDFA,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,17047,"Sampson, Dylan",,,$1.22,3,2025 3.18,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,17167,"Sanker, Jonas",,,$0.99,2,2025 UDFA,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,17668,"Smack, Trey",,,$1.01,4,2026 4.24,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,9431,"Stafford, Matthew",,,$14.18,1,2024 SRFA,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,17640,"Taaffe, Michael",,,$0.94,3,2026 UDFA,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,16036,"Tonges, Jake",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,16747,"Tracy, Tyrone",,,$1.11,2,2024 4.16,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,13692,"Vea, Vita",,,$3.27,1,2024 UFA,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,16304,"Ward, Jay",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,17531,"White, Squirrel",,,$0.94,3,2026 UDFA,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,16284,"Williams, Dorian",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,15710,"Williams, Kyren",,,$8.21,3,2025 FRFA,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,17113,"Williams, Mykel",,,$1.64,3,2025 2.14,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,15753,"Wilson, Garrett",,,$11.55,4,2025 iEXT,
05/13/2026 09:55 PM EDT,NFC,Washington Commanders,16346,"Winters, Dee",,,$1.10,1,2026 ERFA,
05/13/2026 09:55 PM EDT,NFC,Chicago Bears,16414,"Aubrey, Brandon",,,$3.15,5,2025 iEXT,
05/13/2026 09:55 PM EDT,NFC,Chicago Bears,16384,"Bagent, Tyson",,,$1.10,1,2026 R/F,
05/13/2026 09:55 PM EDT,NFC,Chicago Bears,17503,"Bernard, Germie",,,$1.92,4,2026 2.08,
05/13/2026 09:55 PM EDT,NFC,Chicago Bears,15904,"Bland, DaRon",,,$6.87,2,2026 oEXT,
05/13/2026 09:55 PM EDT,NFC,Chicago Bears,17629,"Boettcher, Bryce",,,$0.94,3,2026 UDFA,
05/13/2026 09:55 PM EDT,NFC,Chicago Bears,12752,"Byard, Kevin",,,$4.18,1,2025 UFA,
05/13/2026 09:55 PM EDT,NFC,Chicago Bears,15418,"Bynum, Camryn",,,$6.27,1,2025 UFA,
05/13/2026 09:55 PM EDT,NFC,Chicago Bears,17614,"Canady, Jadon",,,$0.94,3,2026 UDFA,
05/13/2026 09:55 PM EDT,NFC,Chicago Bears,14630,"Cole, A.J.",,,$2.05,1,2025 UFA,
05/13/2026 09:55 PM EDT,NFC,Chicago Bears,17501,"Concepcion, KC",,,$5.56,4,2026 1.06,
05/13/2026 09:55 PM EDT,NFC,Chicago Bears,17656,"Durant, Zane",,,$0.94,3,2026 UDFA,
05/13/2026 09:55 PM EDT,NFC,Chicago Bears,13697,"Edmunds, Tremaine",,,$3.40,1,2023 UFA,
05/13/2026 09:55 PM EDT,NFC,Chicago Bears,17710,"Gyllenborg, John Michael",,,$0.94,3,2026 UDFA,
05/13/2026 09:55 PM EDT,NFC,Chicago Bears,14940,"Highsmith, Alex",,,$7.01,2,2022 oEXT,
05/13/2026 09:55 PM EDT,NFC,Chicago Bears,17570,"Hunter, Lee",,,$1.02,4,2026 4.21,
05/13/2026 09:55 PM EDT,NFC,Chicago Bears,17074,"Hunter, Travis",,,$7.73,3,2025 1.03,
05/13/2026 09:55 PM EDT,NFC,Chicago Bears,17055,"James, Jordan",,,$1.14,3,2025 4.05,
05/13/2026 09:55 PM EDT,NFC,Chicago Bears,16662,"Jenkins, Kris",,,$1.12,1,2024 4.15,
