wave_date,first_wave_poll_count,conference,franchise,franchise_name,first_wave_polls_voted,voted_poll_ids,voted_poll_questions
2026-03-16,8,AFC,LVR,Las Vegas Raiders,8,"987578, 987579, 987580, 987581, 987582, 987583, 987584, 987585","V1: Should we add a Head Coach position to ADL rosters and starting lineups? | V2: Should we allow teams to use two mEXT designations in place of 1 B/R? | V3: Should we award draft picks for playoff teams by Losing Round then Seeding rather than 3rd/5th Place Game Result? | V4: Should we institute a 40-player Active Roster Minimum? | V5: Should we begin In-Season UFA auctions at Noon ET on Tuesdays? | V6: Should we prohibit Future-Season RFA Compensation? | V7: Should we push back Final Roster Cutdowns from Monday at Noon ET to Tuesday at Noon ET? | V8: Should we adopt the ""New 1"" Payout Structure in place of our current one?"
2026-03-16,8,AFC,MIA,Miami Dolphins,8,"987578, 987579, 987580, 987581, 987582, 987583, 987584, 987585","V1: Should we add a Head Coach position to ADL rosters and starting lineups? | V2: Should we allow teams to use two mEXT designations in place of 1 B/R? | V3: Should we award draft picks for playoff teams by Losing Round then Seeding rather than 3rd/5th Place Game Result? | V4: Should we institute a 40-player Active Roster Minimum? | V5: Should we begin In-Season UFA auctions at Noon ET on Tuesdays? | V6: Should we prohibit Future-Season RFA Compensation? | V7: Should we push back Final Roster Cutdowns from Monday at Noon ET to Tuesday at Noon ET? | V8: Should we adopt the ""New 1"" Payout Structure in place of our current one?"
2026-03-16,8,AFC,NEP,New England Patriots,8,"987578, 987579, 987580, 987581, 987582, 987583, 987584, 987585","V1: Should we add a Head Coach position to ADL rosters and starting lineups? | V2: Should we allow teams to use two mEXT designations in place of 1 B/R? | V3: Should we award draft picks for playoff teams by Losing Round then Seeding rather than 3rd/5th Place Game Result? | V4: Should we institute a 40-player Active Roster Minimum? | V5: Should we begin In-Season UFA auctions at Noon ET on Tuesdays? | V6: Should we prohibit Future-Season RFA Compensation? | V7: Should we push back Final Roster Cutdowns from Monday at Noon ET to Tuesday at Noon ET? | V8: Should we adopt the ""New 1"" Payout Structure in place of our current one?"
2026-03-16,8,AFC,NYJ,New York Jets,8,"987578, 987579, 987580, 987581, 987582, 987583, 987584, 987585","V1: Should we add a Head Coach position to ADL rosters and starting lineups? | V2: Should we allow teams to use two mEXT designations in place of 1 B/R? | V3: Should we award draft picks for playoff teams by Losing Round then Seeding rather than 3rd/5th Place Game Result? | V4: Should we institute a 40-player Active Roster Minimum? | V5: Should we begin In-Season UFA auctions at Noon ET on Tuesdays? | V6: Should we prohibit Future-Season RFA Compensation? | V7: Should we push back Final Roster Cutdowns from Monday at Noon ET to Tuesday at Noon ET? | V8: Should we adopt the ""New 1"" Payout Structure in place of our current one?"
2026-03-16,8,AFC,PIT,Pittsburgh Steelers,8,"987578, 987579, 987580, 987581, 987582, 987583, 987584, 987585","V1: Should we add a Head Coach position to ADL rosters and starting lineups? | V2: Should we allow teams to use two mEXT designations in place of 1 B/R? | V3: Should we award draft picks for playoff teams by Losing Round then Seeding rather than 3rd/5th Place Game Result? | V4: Should we institute a 40-player Active Roster Minimum? | V5: Should we begin In-Season UFA auctions at Noon ET on Tuesdays? | V6: Should we prohibit Future-Season RFA Compensation? | V7: Should we push back Final Roster Cutdowns from Monday at Noon ET to Tuesday at Noon ET? | V8: Should we adopt the ""New 1"" Payout Structure in place of our current one?"
2026-03-16,8,AFC,TEN,Tennessee Titans,8,"987578, 987579, 987580, 987581, 987582, 987583, 987584, 987585","V1: Should we add a Head Coach position to ADL rosters and starting lineups? | V2: Should we allow teams to use two mEXT designations in place of 1 B/R? | V3: Should we award draft picks for playoff teams by Losing Round then Seeding rather than 3rd/5th Place Game Result? | V4: Should we institute a 40-player Active Roster Minimum? | V5: Should we begin In-Season UFA auctions at Noon ET on Tuesdays? | V6: Should we prohibit Future-Season RFA Compensation? | V7: Should we push back Final Roster Cutdowns from Monday at Noon ET to Tuesday at Noon ET? | V8: Should we adopt the ""New 1"" Payout Structure in place of our current one?"
2026-03-16,8,NFC,ARI,Arizona Cardinals,8,"987578, 987579, 987580, 987581, 987582, 987583, 987584, 987585","V1: Should we add a Head Coach position to ADL rosters and starting lineups? | V2: Should we allow teams to use two mEXT designations in place of 1 B/R? | V3: Should we award draft picks for playoff teams by Losing Round then Seeding rather than 3rd/5th Place Game Result? | V4: Should we institute a 40-player Active Roster Minimum? | V5: Should we begin In-Season UFA auctions at Noon ET on Tuesdays? | V6: Should we prohibit Future-Season RFA Compensation? | V7: Should we push back Final Roster Cutdowns from Monday at Noon ET to Tuesday at Noon ET? | V8: Should we adopt the ""New 1"" Payout Structure in place of our current one?"
2026-03-16,8,NFC,ATL,Atlanta Falcons,8,"987578, 987579, 987580, 987581, 987582, 987583, 987584, 987585","V1: Should we add a Head Coach position to ADL rosters and starting lineups? | V2: Should we allow teams to use two mEXT designations in place of 1 B/R? | V3: Should we award draft picks for playoff teams by Losing Round then Seeding rather than 3rd/5th Place Game Result? | V4: Should we institute a 40-player Active Roster Minimum? | V5: Should we begin In-Season UFA auctions at Noon ET on Tuesdays? | V6: Should we prohibit Future-Season RFA Compensation? | V7: Should we push back Final Roster Cutdowns from Monday at Noon ET to Tuesday at Noon ET? | V8: Should we adopt the ""New 1"" Payout Structure in place of our current one?"
2026-03-16,8,NFC,CAR,Carolina Panthers,8,"987578, 987579, 987580, 987581, 987582, 987583, 987584, 987585","V1: Should we add a Head Coach position to ADL rosters and starting lineups? | V2: Should we allow teams to use two mEXT designations in place of 1 B/R? | V3: Should we award draft picks for playoff teams by Losing Round then Seeding rather than 3rd/5th Place Game Result? | V4: Should we institute a 40-player Active Roster Minimum? | V5: Should we begin In-Season UFA auctions at Noon ET on Tuesdays? | V6: Should we prohibit Future-Season RFA Compensation? | V7: Should we push back Final Roster Cutdowns from Monday at Noon ET to Tuesday at Noon ET? | V8: Should we adopt the ""New 1"" Payout Structure in place of our current one?"
2026-03-16,8,NFC,CHI,Chicago Bears,8,"987578, 987579, 987580, 987581, 987582, 987583, 987584, 987585","V1: Should we add a Head Coach position to ADL rosters and starting lineups? | V2: Should we allow teams to use two mEXT designations in place of 1 B/R? | V3: Should we award draft picks for playoff teams by Losing Round then Seeding rather than 3rd/5th Place Game Result? | V4: Should we institute a 40-player Active Roster Minimum? | V5: Should we begin In-Season UFA auctions at Noon ET on Tuesdays? | V6: Should we prohibit Future-Season RFA Compensation? | V7: Should we push back Final Roster Cutdowns from Monday at Noon ET to Tuesday at Noon ET? | V8: Should we adopt the ""New 1"" Payout Structure in place of our current one?"
2026-03-16,8,NFC,DAL,Dallas Cowboys,8,"987578, 987579, 987580, 987581, 987582, 987583, 987584, 987585","V1: Should we add a Head Coach position to ADL rosters and starting lineups? | V2: Should we allow teams to use two mEXT designations in place of 1 B/R? | V3: Should we award draft picks for playoff teams by Losing Round then Seeding rather than 3rd/5th Place Game Result? | V4: Should we institute a 40-player Active Roster Minimum? | V5: Should we begin In-Season UFA auctions at Noon ET on Tuesdays? | V6: Should we prohibit Future-Season RFA Compensation? | V7: Should we push back Final Roster Cutdowns from Monday at Noon ET to Tuesday at Noon ET? | V8: Should we adopt the ""New 1"" Payout Structure in place of our current one?"
2026-03-16,8,NFC,DET,Detroit Lions,8,"987578, 987579, 987580, 987581, 987582, 987583, 987584, 987585","V1: Should we add a Head Coach position to ADL rosters and starting lineups? | V2: Should we allow teams to use two mEXT designations in place of 1 B/R? | V3: Should we award draft picks for playoff teams by Losing Round then Seeding rather than 3rd/5th Place Game Result? | V4: Should we institute a 40-player Active Roster Minimum? | V5: Should we begin In-Season UFA auctions at Noon ET on Tuesdays? | V6: Should we prohibit Future-Season RFA Compensation? | V7: Should we push back Final Roster Cutdowns from Monday at Noon ET to Tuesday at Noon ET? | V8: Should we adopt the ""New 1"" Payout Structure in place of our current one?"
2026-03-16,8,NFC,GBP,Green Bay Packers,8,"987578, 987579, 987580, 987581, 987582, 987583, 987584, 987585","V1: Should we add a Head Coach position to ADL rosters and starting lineups? | V2: Should we allow teams to use two mEXT designations in place of 1 B/R? | V3: Should we award draft picks for playoff teams by Losing Round then Seeding rather than 3rd/5th Place Game Result? | V4: Should we institute a 40-player Active Roster Minimum? | V5: Should we begin In-Season UFA auctions at Noon ET on Tuesdays? | V6: Should we prohibit Future-Season RFA Compensation? | V7: Should we push back Final Roster Cutdowns from Monday at Noon ET to Tuesday at Noon ET? | V8: Should we adopt the ""New 1"" Payout Structure in place of our current one?"
2026-03-16,8,NFC,LAR,Los Angeles Rams,8,"987578, 987579, 987580, 987581, 987582, 987583, 987584, 987585","V1: Should we add a Head Coach position to ADL rosters and starting lineups? | V2: Should we allow teams to use two mEXT designations in place of 1 B/R? | V3: Should we award draft picks for playoff teams by Losing Round then Seeding rather than 3rd/5th Place Game Result? | V4: Should we institute a 40-player Active Roster Minimum? | V5: Should we begin In-Season UFA auctions at Noon ET on Tuesdays? | V6: Should we prohibit Future-Season RFA Compensation? | V7: Should we push back Final Roster Cutdowns from Monday at Noon ET to Tuesday at Noon ET? | V8: Should we adopt the ""New 1"" Payout Structure in place of our current one?"
2026-03-16,8,NFC,MIN,Minnesota Vikings,8,"987578, 987579, 987580, 987581, 987582, 987583, 987584, 987585","V1: Should we add a Head Coach position to ADL rosters and starting lineups? | V2: Should we allow teams to use two mEXT designations in place of 1 B/R? | V3: Should we award draft picks for playoff teams by Losing Round then Seeding rather than 3rd/5th Place Game Result? | V4: Should we institute a 40-player Active Roster Minimum? | V5: Should we begin In-Season UFA auctions at Noon ET on Tuesdays? | V6: Should we prohibit Future-Season RFA Compensation? | V7: Should we push back Final Roster Cutdowns from Monday at Noon ET to Tuesday at Noon ET? | V8: Should we adopt the ""New 1"" Payout Structure in place of our current one?"
2026-03-16,8,NFC,NOS,New Orleans Saints,8,"987578, 987579, 987580, 987581, 987582, 987583, 987584, 987585","V1: Should we add a Head Coach position to ADL rosters and starting lineups? | V2: Should we allow teams to use two mEXT designations in place of 1 B/R? | V3: Should we award draft picks for playoff teams by Losing Round then Seeding rather than 3rd/5th Place Game Result? | V4: Should we institute a 40-player Active Roster Minimum? | V5: Should we begin In-Season UFA auctions at Noon ET on Tuesdays? | V6: Should we prohibit Future-Season RFA Compensation? | V7: Should we push back Final Roster Cutdowns from Monday at Noon ET to Tuesday at Noon ET? | V8: Should we adopt the ""New 1"" Payout Structure in place of our current one?"
2026-03-16,8,NFC,NYG,New York Giants,8,"987578, 987579, 987580, 987581, 987582, 987583, 987584, 987585","V1: Should we add a Head Coach position to ADL rosters and starting lineups? | V2: Should we allow teams to use two mEXT designations in place of 1 B/R? | V3: Should we award draft picks for playoff teams by Losing Round then Seeding rather than 3rd/5th Place Game Result? | V4: Should we institute a 40-player Active Roster Minimum? | V5: Should we begin In-Season UFA auctions at Noon ET on Tuesdays? | V6: Should we prohibit Future-Season RFA Compensation? | V7: Should we push back Final Roster Cutdowns from Monday at Noon ET to Tuesday at Noon ET? | V8: Should we adopt the ""New 1"" Payout Structure in place of our current one?"
2026-03-16,8,NFC,PHI,Philadelphia Eagles,8,"987578, 987579, 987580, 987581, 987582, 987583, 987584, 987585","V1: Should we add a Head Coach position to ADL rosters and starting lineups? | V2: Should we allow teams to use two mEXT designations in place of 1 B/R? | V3: Should we award draft picks for playoff teams by Losing Round then Seeding rather than 3rd/5th Place Game Result? | V4: Should we institute a 40-player Active Roster Minimum? | V5: Should we begin In-Season UFA auctions at Noon ET on Tuesdays? | V6: Should we prohibit Future-Season RFA Compensation? | V7: Should we push back Final Roster Cutdowns from Monday at Noon ET to Tuesday at Noon ET? | V8: Should we adopt the ""New 1"" Payout Structure in place of our current one?"
2026-03-16,8,NFC,SEA,Seattle Seahawks,8,"987578, 987579, 987580, 987581, 987582, 987583, 987584, 987585","V1: Should we add a Head Coach position to ADL rosters and starting lineups? | V2: Should we allow teams to use two mEXT designations in place of 1 B/R? | V3: Should we award draft picks for playoff teams by Losing Round then Seeding rather than 3rd/5th Place Game Result? | V4: Should we institute a 40-player Active Roster Minimum? | V5: Should we begin In-Season UFA auctions at Noon ET on Tuesdays? | V6: Should we prohibit Future-Season RFA Compensation? | V7: Should we push back Final Roster Cutdowns from Monday at Noon ET to Tuesday at Noon ET? | V8: Should we adopt the ""New 1"" Payout Structure in place of our current one?"
2026-03-16,8,NFC,SFO,San Francisco 49ers,8,"987578, 987579, 987580, 987581, 987582, 987583, 987584, 987585","V1: Should we add a Head Coach position to ADL rosters and starting lineups? | V2: Should we allow teams to use two mEXT designations in place of 1 B/R? | V3: Should we award draft picks for playoff teams by Losing Round then Seeding rather than 3rd/5th Place Game Result? | V4: Should we institute a 40-player Active Roster Minimum? | V5: Should we begin In-Season UFA auctions at Noon ET on Tuesdays? | V6: Should we prohibit Future-Season RFA Compensation? | V7: Should we push back Final Roster Cutdowns from Monday at Noon ET to Tuesday at Noon ET? | V8: Should we adopt the ""New 1"" Payout Structure in place of our current one?"
2026-03-16,8,NFC,TBB,Tampa Bay Buccaneers,8,"987578, 987579, 987580, 987581, 987582, 987583, 987584, 987585","V1: Should we add a Head Coach position to ADL rosters and starting lineups? | V2: Should we allow teams to use two mEXT designations in place of 1 B/R? | V3: Should we award draft picks for playoff teams by Losing Round then Seeding rather than 3rd/5th Place Game Result? | V4: Should we institute a 40-player Active Roster Minimum? | V5: Should we begin In-Season UFA auctions at Noon ET on Tuesdays? | V6: Should we prohibit Future-Season RFA Compensation? | V7: Should we push back Final Roster Cutdowns from Monday at Noon ET to Tuesday at Noon ET? | V8: Should we adopt the ""New 1"" Payout Structure in place of our current one?"
2026-03-16,8,NFC,WAS,Washington Commanders,8,"987578, 987579, 987580, 987581, 987582, 987583, 987584, 987585","V1: Should we add a Head Coach position to ADL rosters and starting lineups? | V2: Should we allow teams to use two mEXT designations in place of 1 B/R? | V3: Should we award draft picks for playoff teams by Losing Round then Seeding rather than 3rd/5th Place Game Result? | V4: Should we institute a 40-player Active Roster Minimum? | V5: Should we begin In-Season UFA auctions at Noon ET on Tuesdays? | V6: Should we prohibit Future-Season RFA Compensation? | V7: Should we push back Final Roster Cutdowns from Monday at Noon ET to Tuesday at Noon ET? | V8: Should we adopt the ""New 1"" Payout Structure in place of our current one?"
