FRANCHISE,PLAYER,INJ,SALARY,YEARS,CONTRACT,ROSTER
Dallas Cowboys,"Moehrig, Trevon CAR S",,$7.18,3,2026 oEXT,ACTIVE_ROSTER
Dallas Cowboys,"Watts, Xavier ATL S",Questionable,$1.29,3,2025 3.13,ACTIVE_ROSTER
Dallas Cowboys,"Guerendo, Isaac SFO RB",Questionable,$1.10,1,2026 R/F,TAXI_SQUAD
Dallas Cowboys,"Hemby, Roman LVR RB",,$0.94,3,2026 UDFA,TAXI_SQUAD
Dallas Cowboys,"Henry, Robert WAS RB",,$0.94,3,2026 UDFA,TAXI_SQUAD
Dallas Cowboys,"Hill, Justice BAL RB",,$1.10,1,2026 R/F,TAXI_SQUAD
Dallas Cowboys,"Knight, Bam ARI RB",,$1.10,1,2026 ERFA,TAXI_SQUAD
Dallas Cowboys,"Perine, Samaje CIN RB",,$1.10,1,2026 R/F,TAXI_SQUAD
Dallas Cowboys,"Randall, Adam BAL RB",,$1.00,4,2026 4.25,TAXI_SQUAD
Dallas Cowboys,"Reid, Desmond FA RB",Questionable,$0.94,3,2026 UDFA,TAXI_SQUAD
Dallas Cowboys,"Brown, Barion NOS WR",,$0.94,3,2026 UDFA,TAXI_SQUAD
Dallas Cowboys,"Felton, Tai MIN WR",,$1.04,3,2025 5.08,TAXI_SQUAD
Dallas Cowboys,"Raymond, Kalif CHI WR",,$1.10,1,2026 R/F,TAXI_SQUAD
Dallas Cowboys,"Dulcich, Greg MIA TE",,$1.10,1,2026 R/F,TAXI_SQUAD
Dallas Cowboys,"Washington, Darnell PIT TE",,$1.10,1,2026 R/F,TAXI_SQUAD
Dallas Cowboys,"Patterson, Riley MIA PK",,$1.10,1,2026 ERFA,TAXI_SQUAD
Dallas Cowboys,"Santos, Cairo CHI PK",,$1.10,1,2026 R/F,TAXI_SQUAD
Dallas Cowboys,"Cooke, Logan JAC PN",,$1.10,1,2026 R/F,TAXI_SQUAD
Dallas Cowboys,"Martin, Sam CAR PN",,$1.10,1,2026 R/F,TAXI_SQUAD
Dallas Cowboys,"Moore, Trey MIA DE",,$0.94,3,2026 UDFA,TAXI_SQUAD
Dallas Cowboys,"Echols, Brandin PIT CB",,$1.10,1,2026 R/F,TAXI_SQUAD
Dallas Cowboys,"Hughes, Mike ATL CB",Questionable,$1.10,1,2026 R/F,TAXI_SQUAD
Dallas Cowboys,"Jackson, Domani GBP CB",,$0.94,3,2026 UDFA,TAXI_SQUAD
Dallas Cowboys,"Jones, Jack SFO CB",,$1.10,1,2026 R/F,TAXI_SQUAD
Dallas Cowboys,"Epps, Marcus PHI S",,$1.10,1,2026 R/F,TAXI_SQUAD
Dallas Cowboys,"Kilgore, Jalon BUF S",,$0.94,3,2026 UDFA,TAXI_SQUAD
New York Giants,"Beck, Carson ARI QB",,$1.06,4,2026 4.12,ACTIVE_ROSTER
New York Giants,"Herbert, Justin LAC QB",,$16.65,3,2023 iEXT,ACTIVE_ROSTER
New York Giants,"Milroe, Jalen SEA QB",,$1.23,3,2025 3.17,ACTIVE_ROSTER
New York Giants,"Tagovailoa, Tua ATL QB",,$2.20,1,2026 B/R,ACTIVE_ROSTER
New York Giants,"Watson, Deshaun CLE QB",,$1.10,1,2026 R/F,ACTIVE_ROSTER
New York Giants,"Brown, Chase CIN RB",,$1.33,1,2023 3.17,ACTIVE_ROSTER
New York Giants,"Giddens, DJ IND RB",,$1.08,3,2025 4.17,ACTIVE_ROSTER
New York Giants,"Taylor, Jonathan IND RB",,$19.36,1,2024 iEXT,ACTIVE_ROSTER
New York Giants,"Brazzell II, Chris CAR WR",,$1.56,4,2026 2.16,ACTIVE_ROSTER
New York Giants,"Collins, Nico HOU WR",,$37.38,3,2026 oEXT,ACTIVE_ROSTER
New York Giants,"Jennings, Jauan MIN WR",,$2.00,1,2026 UFA,ACTIVE_ROSTER
New York Giants,"Lamb, CeeDee DAL WR",,$41.50,2,2024 NEFToff,ACTIVE_ROSTER
New York Giants,"Samuel, Deebo FA WR",,$15.49,1,2025 ORFA2,ACTIVE_ROSTER
New York Giants,"Thomas, Zavion CHI WR",,$0.99,4,2026 5.09,ACTIVE_ROSTER
New York Giants,"Knox, Dawson BUF TE",,$1.10,1,2026 R/F,ACTIVE_ROSTER
New York Giants,"McBride, Trey ARI TE",,$22.66,1,2026 NEFT,ACTIVE_ROSTER
New York Giants,"Dicker, Cameron LAC PK",,$2.05,2,2025 UFA,ACTIVE_ROSTER
New York Giants,"Sanchez, Rigoberto IND PN",,$1.20,1,2026 UFA,ACTIVE_ROSTER
New York Giants,"Allen, Zach DEN DT",,$16.16,1,2025 oEXT,ACTIVE_ROSTER
New York Giants,"Brown, Derrick CAR DT",,$23.66,2,2024 UFA,ACTIVE_ROSTER
New York Giants,"Grant, Kenneth MIA DT",,$1.26,3,2025 3.14,ACTIVE_ROSTER
New York Giants,"Burch, Jordan ARI DE",,$0.99,2,2025 UDFA,ACTIVE_ROSTER
New York Giants,"Howell, Cashius CIN DE",,$1.23,4,2026 3.14,ACTIVE_ROSTER
New York Giants,"Johnson, Jermaine TEN DE",,$2.00,1,2026 UFA,ACTIVE_ROSTER
New York Giants,"Mesidor, Akheem LAC DE",,$1.49,4,2026 3.02,ACTIVE_ROSTER
New York Giants,"Oweh, Odafe WAS DE",,$2.00,1,2026 UFA,ACTIVE_ROSTER
New York Giants,"Robinson, Chop MIA DE",,$1.56,2,2024 2.16,ACTIVE_ROSTER
New York Giants,"Sawyer, Jack PIT DE",,$0.99,2,2025 UDFA,ACTIVE_ROSTER
New York Giants,"Franklin, Zaire GBP LB",,$11.00,1,2024 UFA,ACTIVE_ROSTER
New York Giants,"Gibbens, Jack ARI LB",,$1.10,1,2026 R/F,ACTIVE_ROSTER
New York Giants,"Rolder, Jimmy DET LB",,$0.94,3,2026 UDFA,ACTIVE_ROSTER
New York Giants,"Sherwood, Jamien NYJ LB",,$5.77,1,2026 SRFA,ACTIVE_ROSTER
New York Giants,"Brownlee, Jarvis NYJ CB",Questionable,$1.10,1,2025 R/F,ACTIVE_ROSTER
New York Giants,"Gonzalez, Christian NEP CB",,$1.21,1,2023 4.15,ACTIVE_ROSTER
New York Giants,"Jones, Jarrian JAC CB",,$1.10,1,2026 R/F,ACTIVE_ROSTER
New York Giants,"McKinstry, Kool-Aid NOS CB",,$1.08,2,2024 5.13,ACTIVE_ROSTER
New York Giants,"Nixon, Keisean GBP CB",,$3.26,1,2026 oEXT,ACTIVE_ROSTER
New York Giants,"Davis, Ashtyn SFO S",,$1.10,1,2026 R/F,ACTIVE_ROSTER
New York Giants,"Downs, Caleb DAL S",,$2.62,4,2026 1.16,ACTIVE_ROSTER
New York Giants,"Fitzpatrick, Minkah NYJ S",,$2.00,1,2026 UFA,ACTIVE_ROSTER
New York Giants,"Stone, Geno BUF S",,$2.00,1,2026 UFA,ACTIVE_ROSTER
Philadelphia Eagles,"Goff, Jared DET QB",,$20.57,2,2024 UFA,ACTIVE_ROSTER
Philadelphia Eagles,"Williams, Caleb CHI QB",,$8.15,2,2024 1.02,ACTIVE_ROSTER
Philadelphia Eagles,"Davis, Ray BUF RB",,$1.18,2,2024 4.05,ACTIVE_ROSTER
Philadelphia Eagles,"Hall, Breece NYJ RB",,$11.30,3,2025 iEXT,ACTIVE_ROSTER
Philadelphia Eagles,"Love, Jeremiyah ARI RB",,$9.73,4,2026 1.02,ACTIVE_ROSTER
Philadelphia Eagles,"Tuten, Bhayshul JAC RB",,$1.80,3,2025 2.10,ACTIVE_ROSTER
Philadelphia Eagles,"Warren, Jaylen PIT RB",,$9.99,1,2025 iEXT,ACTIVE_ROSTER
Philadelphia Eagles,"Douglas, Demario NEP WR",,$2.01,1,2026 UFA,ACTIVE_ROSTER
Philadelphia Eagles,"Egbuka, Emeka TBB WR",,$2.84,3,2025 1.14,ACTIVE_ROSTER
Philadelphia Eagles,"Higgins, Jayden HOU WR",,$3.19,3,2025 1.12,ACTIVE_ROSTER
Philadelphia Eagles,"Hollins, Mack NEP WR",,$2.00,1,2026 UFA,ACTIVE_ROSTER
Philadelphia Eagles,"Kirk, Christian SFO WR",,$2.00,1,2026 UFA,ACTIVE_ROSTER
Philadelphia Eagles,"Palmer, Joshua BUF WR",,$2.00,1,2026 UFA,ACTIVE_ROSTER
Philadelphia Eagles,"Reed, Jayden GBP WR",,$1.75,1,2023 2.13,ACTIVE_ROSTER
Philadelphia Eagles,"Sutton, Courtland DEN WR",,$24.97,3,2026 oEXT,ACTIVE_ROSTER
Philadelphia Eagles,"Williams, Jameson DET WR",,$24.75,6,2026 mEXT,ACTIVE_ROSTER
Philadelphia Eagles,"Bowers, Brock LVR TE",,$4.42,2,2024 1.07,ACTIVE_ROSTER
Philadelphia Eagles,"Ferguson, Jake DAL TE",,$5.20,2,2026 oEXT,ACTIVE_ROSTER
Philadelphia Eagles,"McLaughlin, Chase TBB PK",,$2.00,1,2026 UFA,ACTIVE_ROSTER
Philadelphia Eagles,"Bojorquez, Corey CLE PN",,$1.10,1,2026 R/F,ACTIVE_ROSTER
Philadelphia Eagles,"Armstead, Arik JAC DT",,$2.00,1,2026 UFA,ACTIVE_ROSTER
Philadelphia Eagles,"Butler, Adam LVR DT",Questionable,$2.00,1,2026 UFA,ACTIVE_ROSTER
Philadelphia Eagles,"Lawrence, Dexter CIN DT",,$15.84,1,2023 UFA,ACTIVE_ROSTER
Philadelphia Eagles,"Robinson, Darius ARI DT",,$1.33,2,2024 3.11,ACTIVE_ROSTER
Philadelphia Eagles,"Wyatt, Devonte GBP DT",Questionable,$5.00,2,2026 oEXT,ACTIVE_ROSTER
Philadelphia Eagles,"Bosa, Nick SFO DE",Questionable,$21.30,2,2023 UFA,ACTIVE_ROSTER
Philadelphia Eagles,"Burns, Brian NYG DE",,$11.98,1,2024 B/R,ACTIVE_ROSTER
Philadelphia Eagles,"Faulk, Keldric TEN DE",,$1.20,4,2026 3.16,ACTIVE_ROSTER
Philadelphia Eagles,"McDonald, Will NYJ DE",,$3.70,1,2023 3.18^,ACTIVE_ROSTER
Philadelphia Eagles,"Turner, Dallas MIN DE",,$2.05,2,2024 2.05,ACTIVE_ROSTER
Philadelphia Eagles,"Elliss, Kaden NOS LB",,$3.39,2,2024 oEXT,ACTIVE_ROSTER
Philadelphia Eagles,"Knight, Demetrius CIN LB",,$1.30,3,2025 3.12,ACTIVE_ROSTER
Philadelphia Eagles,"Luvu, Frankie WAS LB",,$5.64,1,2025 UFA,ACTIVE_ROSTER
Philadelphia Eagles,"Singleton, Alex DEN LB",,$2.00,1,2026 UFA,ACTIVE_ROSTER
Philadelphia Eagles,"Werner, Pete NOS LB",,$2.00,1,2026 UFA,ACTIVE_ROSTER
Philadelphia Eagles,"Barron, Jahdae DEN CB",,$1.18,3,2025 4.01,ACTIVE_ROSTER
Philadelphia Eagles,"Lenoir, Deommodore SFO CB",,$1.10,1,2026 UFA,ACTIVE_ROSTER
Philadelphia Eagles,"Rodgers, Isaiah MIN CB",,$1.10,1,2026 UFA,ACTIVE_ROSTER
Philadelphia Eagles,"Terrell, A.J. ATL CB",,$2.00,1,2026 UFA,ACTIVE_ROSTER
Philadelphia Eagles,"Wright, Nahshon NYJ CB",,$1.10,1,2026 ERFA,ACTIVE_ROSTER
Philadelphia Eagles,"Bullock, Calen HOU S",,$1.10,1,2026 ERFA,ACTIVE_ROSTER
Philadelphia Eagles,"Emmanwori, Nick SEA S",,$1.61,3,2025 2.15,ACTIVE_ROSTER
Philadelphia Eagles,"Love, Julian SEA S",,$7.94,1,2024 iEXT,ACTIVE_ROSTER
Philadelphia Eagles,"Lance, Trey LAC QB",,$1.10,1,2026 UFA,TAXI_SQUAD
Philadelphia Eagles,"Vele, Devaughn NOS WR",,$1.10,1,2026 UFA,TAXI_SQUAD
Philadelphia Eagles,"Conklin, Tyler DET TE",,$1.10,1,2026 UFA,TAXI_SQUAD
Philadelphia Eagles,"Tremble, Tommy CAR TE",,$1.10,1,2026 UFA,TAXI_SQUAD
Philadelphia Eagles,"Lutz, Wil DEN PK",,$1.10,1,2026 R/F,TAXI_SQUAD
Philadelphia Eagles,"Doman, Tommy BUF PN",,$0.94,3,2026 UDFA,TAXI_SQUAD
Philadelphia Eagles,"Mann, Braden PHI PN",,$1.10,1,2026 UFA,TAXI_SQUAD
Philadelphia Eagles,"Brooks, Karl GBP DT",,$1.10,1,2026 R/F,TAXI_SQUAD
Philadelphia Eagles,"Elliott, Jordan TEN DT",,$1.10,1,2026 UFA,TAXI_SQUAD
Philadelphia Eagles,"Godchaux, Davon NOS DT",,$1.10,1,2026 UFA,TAXI_SQUAD
Philadelphia Eagles,"Halton, Gracen SFO DT",,$0.98,4,2026 5.18,TAXI_SQUAD
Philadelphia Eagles,"Jenkins, John BAL DT",,$1.10,1,2026 UFA,TAXI_SQUAD
Philadelphia Eagles,"Shepherd, Nathan NOS DT",Questionable,$1.10,1,2026 UFA,TAXI_SQUAD
Philadelphia Eagles,"Barham, Jaishawn DAL DE",,$0.98,4,2026 5.20,TAXI_SQUAD
Philadelphia Eagles,"McGuire, Isaiah CLE DE",,$1.10,1,2026 UFA,TAXI_SQUAD
Philadelphia Eagles,"Okuayinonu, Sam SFO DE",,$1.10,1,2026 UFA,TAXI_SQUAD
Philadelphia Eagles,"Williams, Wesley JAC DE",,$0.94,3,2026 UDFA,TAXI_SQUAD
Philadelphia Eagles,"Diabate, Mohamoud TEN LB",,$1.10,1,2026 R/F,TAXI_SQUAD
Philadelphia Eagles,"Hughes, Parker JAC LB",,$0.94,3,2026 UDFA,TAXI_SQUAD
Philadelphia Eagles,"Burke, Denzel ARI CB",,$1.10,1,2026 UFA,TAXI_SQUAD
Philadelphia Eagles,"Hall, TJ NOS CB",,$0.94,3,2026 UDFA,TAXI_SQUAD
Philadelphia Eagles,"Hood, Colton NYG CB",,$0.98,4,2026 5.14,TAXI_SQUAD
Philadelphia Eagles,"McCoy, Jermod LVR CB",Questionable,$0.94,3,2026 UDFA,TAXI_SQUAD
Philadelphia Eagles,"Stout, Upton SFO CB",,$1.10,1,2026 ERFA,TAXI_SQUAD
Philadelphia Eagles,"Johnson, Lonnie MIA S",,$1.10,1,2026 UFA,TAXI_SQUAD
Philadelphia Eagles,"Pola-Mao, Isaiah LVR S",,$1.10,1,2026 R/F,TAXI_SQUAD
Philadelphia Eagles,"Scott, Nick CAR S",,$1.10,1,2026 UFA,TAXI_SQUAD
Washington Commanders,"Ewers, Quinn MIA QB",,$1.10,1,2026 UFA,ACTIVE_ROSTER
Washington Commanders,"Love, Jordan GBP QB",,$11.53,1,2023 iEXT,ACTIVE_ROSTER
Washington Commanders,"Stafford, Matthew LAR QB",,$14.18,1,2024 SRFA,ACTIVE_ROSTER
Washington Commanders,"Brooks, Jonathon CAR RB",,$2.71,2,2024 1.14,ACTIVE_ROSTER
Washington Commanders,"Croskey-Merritt, Jacory WAS RB",,$0.99,2,2025 UDFA,ACTIVE_ROSTER
Washington Commanders,"Sampson, Dylan CLE RB",,$1.22,3,2025 3.18,ACTIVE_ROSTER
Washington Commanders,"Tracy, Tyrone NYG RB",,$1.11,2,2024 4.16,ACTIVE_ROSTER
Washington Commanders,"Williams, Kyren LAR RB",,$8.21,3,2025 FRFA,ACTIVE_ROSTER
Washington Commanders,"Bech, Jack LVR WR",,$2.18,3,2025 2.04,ACTIVE_ROSTER
Washington Commanders,"Bell, Chris MIA WR",Questionable,$1.76,4,2026 2.11,ACTIVE_ROSTER
Washington Commanders,"Chase, Ja'Marr CIN WR",,$44.70,4,2025 iEXT,ACTIVE_ROSTER
Washington Commanders,"Flowers, Zay BAL WR",,$3.80,1,2023 1.10,ACTIVE_ROSTER
Washington Commanders,"Jefferson, Justin MIN WR",,$45.38,2,2024 NEFToff,ACTIVE_ROSTER
Washington Commanders,"Wilson, Garrett NYJ WR",,$11.55,4,2025 iEXT,ACTIVE_ROSTER
Washington Commanders,"Ertz, Zach FA TE",Questionable,$1.10,1,2026 UFA,ACTIVE_ROSTER
Washington Commanders,"Joly, Justin DEN TE",,$1.01,4,2026 4.22,ACTIVE_ROSTER
Washington Commanders,"Kincaid, Dalton BUF TE",,$4.92,1,2023 1.07,ACTIVE_ROSTER
Washington Commanders,"Kittle, George SFO TE",Questionable,$20.00,1,2026 B/R,ACTIVE_ROSTER
Washington Commanders,"Klein, Marlin HOU TE",Questionable,$0.98,4,2026 5.11,ACTIVE_ROSTER
Washington Commanders,"Tonges, Jake SFO TE",Questionable,$1.10,1,2026 R/F,ACTIVE_ROSTER
Washington Commanders,"Smack, Trey GBP PK",,$1.01,4,2026 4.24,ACTIVE_ROSTER
Washington Commanders,"Crawshaw, Jeremy DEN PN",,$0.99,2,2025 UDFA,ACTIVE_ROSTER
Washington Commanders,"Davis, Tyler LAR DT",,$1.10,1,2026 ERFA,ACTIVE_ROSTER
Washington Commanders,"Eboigbe, Justin LAC DT",,$3.04,2,2026 UFA,ACTIVE_ROSTER
Washington Commanders,"Graham, Mason CLE DT",Questionable,$2.56,3,2025 1.16,ACTIVE_ROSTER
Washington Commanders,"Harrison, Zach ATL DT",,$2.90,1,2026 UFA,ACTIVE_ROSTER
Washington Commanders,"McDonald, Kayden HOU DT",,$1.28,4,2026 3.11,ACTIVE_ROSTER
Washington Commanders,"Onyemata, David NYJ DT",,$2.00,1,2026 UFA,ACTIVE_ROSTER
Washington Commanders,"Vea, Vita TBB DT",,$3.27,1,2024 UFA,ACTIVE_ROSTER
Washington Commanders,"Anderson, Will HOU DE",,$3.53,1,2023 1.11+,ACTIVE_ROSTER
Washington Commanders,"Bailey, David NYJ DE",,$3.52,4,2026 1.11,ACTIVE_ROSTER
Washington Commanders,"Booker, Austin CHI DE",,$1.10,2,2024 4.19,ACTIVE_ROSTER
Washington Commanders,"Gary, Rashan DAL DE",,$3.30,1,2024 iEXT,ACTIVE_ROSTER
Washington Commanders,"Latu, Laiatu IND DE",,$2.37,2,2024 2.01,ACTIVE_ROSTER
Washington Commanders,"Williams, Mykel SFO DE",Questionable,$1.64,3,2025 2.14,ACTIVE_ROSTER
Washington Commanders,"Al-Shaair, Azeez HOU LB",Questionable,$2.61,3,2026 UFA,ACTIVE_ROSTER
Washington Commanders,"Daniels, Kendal ATL LB",,$0.94,3,2026 UDFA,ACTIVE_ROSTER
Washington Commanders,"Davis-Gaither, Akeem IND LB",,$1.10,1,2026 ERFA,ACTIVE_ROSTER
Washington Commanders,"Harris, Christian ATL LB",,$1.10,1,2026 R/F,ACTIVE_ROSTER
Washington Commanders,"Hill Jr., Anthony TEN LB",,$1.63,4,2026 2.14,ACTIVE_ROSTER
Washington Commanders,"Williams, Dorian BUF LB",Questionable,$1.10,1,2026 R/F,ACTIVE_ROSTER
Washington Commanders,"Winters, Dee DAL LB",,$1.10,1,2026 ERFA,ACTIVE_ROSTER
Washington Commanders,"Harris, Marcus TEN CB",Questionable,$1.10,1,2026 UFA,ACTIVE_ROSTER
Washington Commanders,"Marshall, Jason MIA CB",,$1.10,1,2026 R/F,ACTIVE_ROSTER
Washington Commanders,"Ramsey, Jalen PIT CB",,$2.60,1,2026 UFA,ACTIVE_ROSTER
Washington Commanders,"Robertson, Amik WAS CB",,$2.20,1,2026 UFA,ACTIVE_ROSTER
Washington Commanders,"Haulcy, A.J. IND S",,$1.26,4,2026 3.12,ACTIVE_ROSTER
Washington Commanders,"Johnson, Antonio JAC S",,$2.45,2,2025 iEXT,ACTIVE_ROSTER
Washington Commanders,"Moore, Malachi NYJ S",,$0.99,2,2025 UDFA,ACTIVE_ROSTER
Washington Commanders,"Pitre, Jalen HOU S",,$2.70,3,2026 UFA,ACTIVE_ROSTER
Washington Commanders,"Sanker, Jonas NOS S",,$0.99,2,2025 UDFA,ACTIVE_ROSTER
Washington Commanders,"Gabriel, Dillon CLE QB",,$1.07,3,2025 4.19,TAXI_SQUAD
Washington Commanders,"Vidal, Kimani LAC RB",,$2.00,1,2026 UFA,TAXI_SQUAD
Washington Commanders,"White, Squirrel CHI WR",RETIRED,$0.94,3,2026 UDFA,TAXI_SQUAD
Washington Commanders,"Endries, Jack CIN TE",,$0.94,3,2026 UDFA,TAXI_SQUAD
Washington Commanders,"Kacmarek, Will MIA TE",,$0.94,3,2026 UDFA,TAXI_SQUAD
Washington Commanders,"Boswell, Chris PIT PK",,$2.09,1,2025 UFA,TAXI_SQUAD
Washington Commanders,"Benny, Rayshaun BAL DT",,$0.94,3,2026 UDFA,TAXI_SQUAD
Washington Commanders,"Jones, D.J. DEN DT",,$1.10,1,2026 R/F,TAXI_SQUAD
Washington Commanders,"Koonce, Malcolm LVR DE",,$1.10,1,2026 R/F,TAXI_SQUAD
Washington Commanders,"Hart, Cam LAC CB",,$1.10,1,2026 R/F,TAXI_SQUAD
Washington Commanders,"Bullard, Javon GBP S",,$1.30,2,2024 3.13,TAXI_SQUAD
Washington Commanders,"Taaffe, Michael MIA S",,$0.94,3,2026 UDFA,TAXI_SQUAD
Washington Commanders,"Ward, Jay MIN S",,$1.10,1,2026 R/F,TAXI_SQUAD
Chicago Bears,"Mahomes, Patrick KCC QB",Questionable,$41.48,3,2023 oEXT,ACTIVE_ROSTER
Chicago Bears,"Shough, Tyler NOS QB",,$1.35,3,2025 3.09,ACTIVE_ROSTER
Chicago Bears,"Dowdle, Rico PIT RB",,$4.70,1,2026 UFA,ACTIVE_ROSTER
Chicago Bears,"Henry, Derrick BAL RB",,$22.80,2,2026 UFA,ACTIVE_ROSTER
Chicago Bears,"Lloyd, MarShawn GBP RB",,$1.42,2,2024 3.06,ACTIVE_ROSTER
Chicago Bears,"Miller, Kendre NOS RB",Questionable,$2.34,1,2023 2.03,ACTIVE_ROSTER
Chicago Bears,"Skattebo, Cam NYG RB",Questionable,$1.86,3,2025 2.09,ACTIVE_ROSTER
Chicago Bears,"Wright, Jaylen MIA RB",,$1.73,2,2024 2.11,ACTIVE_ROSTER
Chicago Bears,"Allen, Keenan FA WR",,$2.00,1,2026 UFA,ACTIVE_ROSTER
Chicago Bears,"Bernard, Germie PIT WR",,$1.92,4,2026 2.08,ACTIVE_ROSTER
Chicago Bears,"Concepcion, KC CLE WR",,$5.56,4,2026 1.06,ACTIVE_ROSTER
Chicago Bears,"Hunter, Travis JAC WR",Questionable,$7.73,3,2025 1.03,ACTIVE_ROSTER
Chicago Bears,"McLaurin, Terry WAS WR",,$22.80,2,2026 B/R,ACTIVE_ROSTER
Chicago Bears,"Mims, Marvin DEN WR",,$1.80,1,2023 2.12,ACTIVE_ROSTER
Chicago Bears,"Olave, Chris NOS WR",,$7.33,5,2025 iEXT,ACTIVE_ROSTER
Chicago Bears,"Rice, Rashee KCC WR",Questionable,$3.70,1,2023 2.04^,ACTIVE_ROSTER
Chicago Bears,"Sarratt, Elijah BAL WR",,$1.36,4,2026 3.07,ACTIVE_ROSTER
Chicago Bears,"Walker, Jahdae CHI WR",,$1.10,1,2026 UFA,ACTIVE_ROSTER
Chicago Bears,"Loveland, Colston CHI TE",,$4.32,3,2025 1.08,ACTIVE_ROSTER
Chicago Bears,"Njoku, David LAC TE",,$2.00,1,2026 UFA,ACTIVE_ROSTER
Chicago Bears,"Waller, Darren FA TE",Questionable,$1.10,1,2026 UFA,ACTIVE_ROSTER
